Date,Open,High,Low,Close,Adj Close,Volume
2022-05-18,3030.000000,3128.800049,3026.000000,3100.100098,3077.895752,1379763
2022-05-19,3000.500000,3071.699951,3000.449951,3046.899902,3025.076416,772390
2022-05-20,3080.000000,3125.000000,3070.000000,3109.949951,3087.675049,778957
2022-05-23,3143.949951,3188.000000,3130.050049,3174.199951,3151.464844,813294
2022-05-24,3174.750000,3183.649902,3070.000000,3086.850098,3064.740723,691307
2022-05-25,3039.000000,3039.000000,2826.300049,2838.050049,2817.722656,3381427
2022-05-26,2850.000000,2860.000000,2718.550049,2840.149902,2819.807617,3212196
2022-05-27,2868.000000,2869.000000,2781.000000,2834.850098,2814.545654,1879534
2022-05-30,2880.000000,2884.000000,2817.000000,2844.000000,2823.629883,2525482
2022-05-31,2844.000000,2878.000000,2811.000000,2859.649902,2839.167725,2408221
2022-06-01,2859.649902,2939.899902,2832.050049,2852.500000,2832.069092,1770795
2022-06-02,2870.199951,2919.000000,2848.000000,2908.550049,2887.717529,1164197
2022-06-03,2905.000000,2919.449951,2856.000000,2886.899902,2866.222412,1228489
2022-06-06,2871.100098,2872.000000,2807.699951,2817.449951,2797.270020,1193698
2022-06-07,2800.000000,2804.000000,2731.000000,2744.699951,2725.041260,1403598
2022-06-08,2771.899902,2775.000000,2700.000000,2705.199951,2685.823975,1743575
2022-06-09,2680.000000,2697.600098,2633.750000,2686.800049,2682.928467,1857501
2022-06-10,2665.000000,2736.000000,2652.000000,2708.750000,2704.846680,1592920
2022-06-13,2669.949951,2683.000000,2642.500000,2660.750000,2656.915771,1674206
2022-06-14,2617.000000,2666.350098,2585.000000,2635.399902,2631.602295,2296040
2022-06-15,2650.000000,2683.600098,2627.100098,2661.149902,2657.315186,928842
2022-06-16,2694.949951,2725.449951,2640.000000,2657.449951,2653.620605,1280628
2022-06-17,2650.100098,2657.000000,2560.000000,2580.199951,2576.481934,2043251
2022-06-20,2600.000000,2673.350098,2588.350098,2660.699951,2656.865967,1595360
2022-06-21,2674.949951,2710.000000,2640.000000,2678.350098,2674.490479,1042074
2022-06-22,2688.000000,2707.949951,2626.350098,2666.350098,2662.507813,1871760
2022-06-23,2674.949951,2767.949951,2674.949951,2758.199951,2754.225342,1612872
2022-06-24,2775.000000,2784.800049,2726.000000,2760.899902,2756.921387,2215583
2022-06-27,2779.899902,2827.649902,2765.000000,2820.949951,2816.885010,1295734
2022-06-28,2780.000000,2784.800049,2704.300049,2726.500000,2722.571045,1838358
2022-06-29,2706.500000,2719.000000,2678.000000,2697.800049,2693.912598,1066354
2022-06-30,2714.850098,2726.949951,2680.000000,2695.199951,2691.316162,1291447
2022-07-01,2704.899902,2780.000000,2685.000000,2773.149902,2769.153809,1477191
2022-07-04,2775.149902,2798.000000,2744.800049,2790.300049,2786.279297,653147
2022-07-05,2785.000000,2812.300049,2760.000000,2766.600098,2762.613525,1073043
2022-07-06,2830.550049,2869.000000,2805.149902,2861.399902,2857.276611,2085735
2022-07-07,2901.399902,2932.000000,2876.800049,2891.399902,2887.233398,1469087
2022-07-08,2880.000000,2888.000000,2840.500000,2879.800049,2875.650146,1274148
2022-07-11,2874.000000,2940.550049,2851.350098,2933.050049,2928.823486,1081885
